BX = 000 Event : 1
BX = 001 Event : 2
0x07 0100111|0101001 0x13A9
BX = 100 Event : 77
0x00 0000110|0101001 0x0329
0x01 0000111|0101001 0x03A9
0x02 0001111|0101000 0x07A8
0x03 0011101|0101001 0x0EA9
0x04 0011110|0101001 0x0F29
0x05 0011111|0101001 0x0FA9
0x06 0100000|0101001 0x1029
0x07 0100001|0101000 0x10A8
BX = 101 Event : 78
BX = 110 Event : 79
BX = 111 Event : 80
0x00 0001101|0001010 0x068A
0x01 0001110|0001010 0x070A
0x02 0010000|0001010 0x080A
0x03 0010001|0001010 0x088A
0x04 0010011|0101110 0x09AE
0x05 0010011|0101111 0x09AF
0x06 0011001|0000011 0x0C83
BX = 000 Event : 81
BX = 001 Event : 82
BX = 010 Event : 83
BX = 011 Event : 84
0x00 0010000|0100100 0x0824
BX = 100 Event : 85
0x00 0000110|0101010 0x032A
0x01 0000110|0101011 0x032B
0x02 0000110|0101100 0x032C
0x03 0000110|0110110 0x0336
0x04 0000111|0101010 0x03AA
0x05 0000111|0101011 0x03AB
0x06 0000111|0101100 0x03AC
0x07 0000111|0110110 0x03B6
0x08 0010101|0001100 0x0A8C
0x09 0010110|0001100 0x0B0C
BX = 101 Event : 86
BX = 110 Event : 87
BX = 111 Event : 88
0x00 0000001|0001010 0x008A
0x01 0000010|0001010 0x010A
0x02 0001000|0010100 0x0414
0x03 0001000|0011010 0x041A
0x04 0001001|0010110 0x0496
0x05 0001001|0011010 0x049A
0x06 0001010|0010110 0x0516
0x07 0001010|0011010 0x051A
0x08 0010100|0010100 0x0A14
0x09 0010100|0011010 0x0A1A
BX = 000 Event : 89
0x00 0001101|0100011 0x06A3
0x01 0001111|0000100 0x0784
0x02 0010000|0000100 0x0804
BX = 001 Event : 90
BX = 010 Event : 91
0x00 0001100|0100001 0x0621
0x01 0001100|0100010 0x0622
0x02 0001101|0100001 0x06A1
0x03 0010110|0000001 0x0B01
0x04 0011011|0000001 0x0D81
0x05 0011100|0000001 0x0E01
BX = 011 Event : 92
0x00 0000001|0001010 0x008A
0x01 0000010|0001010 0x010A
0x02 0000111|0010111 0x0397
0x03 0000111|0011111 0x039F
0x04 0001000|0000010 0x0402
0x05 0001010|0011001 0x0519
0x06 0001010|0011111 0x051F
0x07 0001011|0011001 0x0599
0x08 0001011|0011111 0x059F
0x09 0010111|0010111 0x0B97
0x0a 0010111|0011111 0x0B9F
BX = 100 Event : 93
0x00 0001001|0001101 0x048D
0x01 0001001|0001011 0x048B
0x02 0010101|0101111 0x0AAF
0x03 0011011|0101111 0x0DAF
0x04 0100000|0001101 0x100D
0x05 0100000|0001011 0x100B
0x06 0100010|0001101 0x110D
0x07 0100010|0001011 0x110B
0x08 0101011|0000011 0x1583
0x09 0101110|0101111 0x172F
0x0a 0101111|0101111 0x17AF
BX = 101 Event : 94
BX = 110 Event : 95
0x00 0001111|0010011 0x0793
0x01 0010001|0000011 0x0883
0x02 0100110|0000011 0x1303
0x03 0100111|0000011 0x1383
0x04 0101000|0000011 0x1403
BX = 111 Event : 96
0x00 0000001|0011001 0x0099
0x01 0000001|0011110 0x009E
0x02 0000010|0011001 0x0119
0x03 0000010|0011110 0x011E
0x04 0000100|0011001 0x0219
0x05 0000100|0011110 0x021E
0x06 0001001|0011110 0x049E
0x07 0001100|0011001 0x0619
0x08 0001100|0011110 0x061E
BX = 000 Event : 97
0x00 0000101|0011110 0x029E
0x01 0000110|0011110 0x031E
0x02 0001011|0110000 0x05B0
0x03 0001100|0110000 0x0630
0x04 0001110|0011110 0x071E
0x05 0001111|0011110 0x079E
0x06 0010101|0011110 0x0A9E
0x07 0010110|0011101 0x0B1D
0x08 0010110|0011110 0x0B1E
