BX = 000 Event : 1
0x08 0000101|0101001 0x02A9
BX = 000 Event : 41
0x00 0001101|0010001 0x0691
0x01 0001101|0010011 0x0693
BX = 001 Event : 42
0x00 0000000|0011101 0x001D
0x01 0000000|0111010 0x003A
0x02 0000001|0000001 0x0081
0x03 0000001|0000101 0x0085
0x04 0001010|0011011 0x051B
0x05 0001010|0100001 0x0521
0x06 0001010|0100011 0x0523
0x07 0010010|0100001 0x0921
0x08 0010010|0100011 0x0923
0x09 0010010|0000101 0x0905
0x0a 0010011|0100001 0x09A1
0x0b 0010011|0100011 0x09A3
0x0c 0010011|0000101 0x0985
0x0d 0010100|0100001 0x0A21
0x0e 0010100|0100011 0x0A23
0x0f 0010100|0000101 0x0A05
0x10 0010101|0100111 0x0AA7
0x11 0010101|0101000 0x0AA8
0x12 0010110|0100111 0x0B27
0x13 0010110|0101000 0x0B28
BX = 010 Event : 43
0x00 0000010|0110100 0x0134
0x01 0000010|0111000 0x0138
0x02 0000100|0000001 0x0201
0x03 0000100|0000100 0x0204
0x04 0000100|0000101 0x0205
0x05 0000100|0000110 0x0206
0x06 0000100|0100110 0x0226
0x07 0000100|0001011 0x020B
0x08 0001110|0001110 0x070E
0x09 0001110|0010101 0x0715
0x0a 0010001|0110100 0x08B4
0x0b 0010001|0111000 0x08B8
BX = 011 Event : 44
0x00 0000010|0000110 0x0106
0x01 0000010|0000111 0x0107
0x02 0000110|0000101 0x0305
0x03 0000110|0010001 0x0311
0x04 0000110|0000110 0x0306
0x05 0000110|0000111 0x0307
0x06 0000111|0000101 0x0385
0x07 0000111|0000110 0x0386
0x08 0000111|0000111 0x0387
0x09 0001000|0000101 0x0405
0x0a 0001000|0000110 0x0406
0x0b 0001000|0000111 0x0407
BX = 100 Event : 45
0x00 0001010|0100000 0x0520
0x01 0001010|0100001 0x0521
BX = 101 Event : 46
0x00 0000000|0001111 0x000F
0x01 0000001|0001111 0x008F
0x02 0000010|0001000 0x0108
0x03 0000011|0001000 0x0188
0x04 0001001|0010110 0x0496
0x05 0001001|0010111 0x0497
0x06 0001001|0011001 0x0499
0x07 0001001|0011010 0x049A
0x08 0001001|0011101 0x049D
0x09 0001111|0010110 0x0796
0x0a 0001111|0010111 0x0797
0x0b 0001111|0011001 0x0799
0x0c 0001111|0011010 0x079A
BX = 110 Event : 47
0x00 0000101|0010110 0x0296
0x01 0000101|0010111 0x0297
0x02 0000101|0011000 0x0298
0x03 0000101|0011001 0x0299
BX = 111 Event : 48
0x00 0000001|0001001 0x0089
0x01 0000010|0000100 0x0104
0x02 0000011|0000100 0x0184
0x03 0000110|0010011 0x0313
0x04 0000110|0010111 0x0317
0x05 0001111|0010011 0x0793
0x06 0001111|0100011 0x07A3
0x07 0001111|0010111 0x0797
0x08 0010011|0001001 0x0989
0x09 0010100|0001001 0x0A09
0x0a 0010101|0001001 0x0A89
0x0b 0010110|0001001 0x0B09
0x0c 0010111|0001001 0x0B89
0x0d 0011000|0001001 0x0C09
0x0e 0011101|0001001 0x0E89
0x0f 0011110|0001001 0x0F09
0x10 0011111|0001001 0x0F89
0x11 0100000|0001001 0x1009
0x12 0100001|0001001 0x1089
BX = 000 Event : 49
0x00 0000000|0000110 0x0006
0x01 0000000|0001100 0x000C
0x02 0000000|0001101 0x000D
0x03 0000000|0001111 0x000F
0x04 0000000|0010100 0x0014
0x05 0000010|0000101 0x0105
0x06 0000010|0000110 0x0106
0x07 0000010|0001100 0x010C
0x08 0000010|0001101 0x010D
0x09 0000010|0001111 0x010F
0x0a 0000010|0010100 0x0114
0x0b 0000010|0010111 0x0117
0x0c 0001010|0000101 0x0505
0x0d 0001010|0101011 0x052B
0x0e 0001010|0000110 0x0506
0x0f 0001101|0011010 0x069A
0x10 0001101|0011011 0x069B
0x11 0001101|0011100 0x069C
0x12 0001110|0011010 0x071A
0x13 0001110|0011011 0x071B
0x14 0001110|0011100 0x071C
0x15 0001111|0011010 0x079A
0x16 0001111|0011011 0x079B
0x17 0001111|0011100 0x079C
0x18 0010001|0011010 0x089A
0x19 0010001|0011011 0x089B
0x1a 0010001|0011100 0x089C
BX = 001 Event : 50
0x00 0000010|0100100 0x0124
0x01 0000011|0100100 0x01A4
0x02 0000110|0100000 0x0320
0x03 0000110|0100100 0x0324
0x04 0000110|0100111 0x0327
0x05 0000110|0101000 0x0328
0x06 0000110|0101010 0x032A
0x07 0000111|0100000 0x03A0
0x08 0000111|0100100 0x03A4
0x09 0000111|0100111 0x03A7
0x0a 0000111|0101000 0x03A8
0x0b 0000111|0101010 0x03AA
BX = 010 Event : 51
BX = 011 Event : 52
0x00 0000100|0100111 0x0227
0x01 0000100|0101000 0x0228
0x02 0000100|0101001 0x0229
0x03 0000100|0101100 0x022C
0x04 0000100|0110000 0x0230
0x05 0000101|0101100 0x02AC
0x06 0000101|0010101 0x0295
0x07 0000101|0110000 0x02B0
0x08 0000111|0011001 0x0399
0x09 0000111|0011010 0x039A
0x0a 0000111|0011110 0x039E
0x0b 0001010|0010101 0x0515
0x0c 0001010|0110000 0x0530
0x0d 0001010|0110100 0x0534
0x0e 0001010|0011001 0x0519
0x0f 0001010|0011110 0x051E
0x10 0001100|0100011 0x0623
0x11 0010111|0100011 0x0BA3
0x12 0011001|0100011 0x0CA3
BX = 100 Event : 53
0x00 0000010|0010100 0x0114
0x01 0000010|0010101 0x0115
0x02 0000010|0011001 0x0119
