BX = 000 Event : 1
BX = 100 Event : 93
0x00 0011011|0101001 0x0DA9
0x01 0011011|0101010 0x0DAA
BX = 101 Event : 94
0x00 0000110|0110100 0x0334
0x01 0000110|0110111 0x0337
0x02 0000110|0111000 0x0338
0x03 0001000|0101110 0x042E
BX = 110 Event : 95
BX = 111 Event : 96
0x00 0000101|0101100 0x02AC
0x01 0011011|0101100 0x0DAC
BX = 000 Event : 97
0x00 0010000|0100111 0x0827
BX = 001 Event : 98
BX = 010 Event : 99
0x00 0000110|0000101 0x0305
0x01 0000111|0000101 0x0385
0x02 0010011|0000101 0x0985
0x03 0110011|0000101 0x1985
BX = 011 Event : 100
0x00 0100111|0000101 0x1385
