BX = 000 Event : 1
BX = 001 Event : 2
0x10 0100010|0001011 0x110B
0x11 0100010|0001101 0x110D
0x12 0100100|0001010 0x120A
0x13 0100100|0001011 0x120B
0x14 0100101|0001010 0x128A
0x15 0100101|0001011 0x128B
0x16 0100110|0110000 0x1330
0x17 0101000|0001010 0x140A
0x18 0101000|0001011 0x140B
0x19 0101100|0010100 0x1614
0x1a 0101100|0010101 0x1615
0x1b 0101100|0010110 0x1616
0x1c 0110001|0000000 0x1880
0x1d 0110001|0110000 0x18B0
BX = 100 Event : 93
0x00 0011111|0100110 0x0FA6
0x01 0100001|0100110 0x10A6
BX = 101 Event : 94
BX = 110 Event : 95
0x00 0001010|0001011 0x050B
0x01 0001010|0001100 0x050C
0x02 0001111|0001011 0x078B
0x03 0001111|0001100 0x078C
0x04 0010101|1000011 0x0AC3
0x05 0011111|0001011 0x0F8B
0x06 0011111|0001100 0x0F8C
0x07 0011111|0010101 0x0F95
BX = 111 Event : 96
0x00 0001110|0101001 0x0729
0x01 0010001|0101001 0x08A9
0x02 0010100|0001110 0x0A0E
0x03 0100010|0000011 0x1103
0x04 0100010|0011010 0x111A
0x05 0100011|0000011 0x1183
0x06 0100011|0011010 0x119A
BX = 000 Event : 97
0x00 0001000|0001011 0x040B
0x01 0001000|0001100 0x040C
0x02 0001000|0001101 0x040D
0x03 0001000|0001110 0x040E
0x04 0001000|0001111 0x040F
BX = 001 Event : 98
0x00 0010101|0001010 0x0A8A
0x01 0011001|0100111 0x0CA7
0x02 0011010|0100111 0x0D27
0x03 0011101|0000110 0x0E86
0x04 0011110|0100111 0x0F27
0x05 0110000|0011101 0x181D
0x06 0111010|0001010 0x1D0A
0x07 0111010|0011101 0x1D1D
BX = 010 Event : 99
0x00 0011010|0011000 0x0D18
0x01 0011010|0011001 0x0D19
BX = 011 Event : 100
0x00 0001001|0100110 0x04A6
