BX = 000 Event : 1
0x02 0100101|0110001 0x12B1
0x03 0100101|0110010 0x12B2
0x04 0101001|0110000 0x14B0
0x05 0101001|0001000 0x1488
0x06 0101001|0110001 0x14B1
0x07 0101001|0110010 0x14B2
0x08 0110100|0110000 0x1A30
0x09 0110100|0001000 0x1A08
0x0a 0110100|0110001 0x1A31
0x0b 0110100|0110010 0x1A32
BX = 011 Event : 92
0x00 0101110|0001000 0x1708
0x01 0101110|0100010 0x1722
0x02 0101111|0110100 0x17B4
BX = 100 Event : 93
0x00 0100111|0100010 0x13A2
0x01 0100111|0100100 0x13A4
0x02 0110111|0101100 0x1BAC
BX = 101 Event : 94
0x00 0001100|0100001 0x0621
BX = 110 Event : 95
BX = 111 Event : 96
0x00 0010000|0101001 0x0829
0x01 0010111|0000011 0x0B83
0x02 0011000|0100011 0x0C23
0x03 0011000|0100100 0x0C24
0x04 0011001|0100011 0x0CA3
0x05 0011001|0100100 0x0CA4
0x06 0011010|0100011 0x0D23
0x07 0011010|0100100 0x0D24
0x08 0011111|0000111 0x0F87
0x09 0100000|0000111 0x1007
0x0a 0101111|0000011 0x1783
0x0b 0101111|0011010 0x179A
0x0c 0101111|0011011 0x179B
BX = 000 Event : 97
BX = 001 Event : 98
0x00 0101111|0011111 0x179F
BX = 010 Event : 99
0x00 0010110|0010001 0x0B11
0x01 0010111|0010001 0x0B91
0x02 0011000|0010001 0x0C11
0x03 0011001|0011001 0x0C99
0x04 0011011|0010111 0x0D97
0x05 0011011|0011001 0x0D99
BX = 011 Event : 100
0x00 0010001|0011100 0x089C
0x01 0101001|0010111 0x1497
0x02 0101001|0110001 0x14B1
0x03 0110011|0100011 0x19A3
0x04 0110100|0100011 0x1A23
0x05 0111100|0010111 0x1E17
0x06 0111100|0110001 0x1E31
