BX = 000 Event : 1
0x03 0011001|0001000 0x0C88
0x04 0100000|0010010 0x1012
0x05 0100000|0010100 0x1014
0x06 0100001|0010010 0x1092
0x07 0100001|0010100 0x1094
0x08 0100010|0010010 0x1112
0x09 0100010|0010100 0x1114
0x0a 0100101|0010010 0x1292
0x0b 0100101|0010100 0x1294
0x0c 0100110|0010100 0x1314
0x0d 0100111|0010010 0x1392
0x0e 0100111|0010100 0x1394
0x0f 0101001|0000011 0x1483
0x10 0101001|0000111 0x1487
0x11 0101001|0001000 0x1488
0x12 0101100|0011010 0x161A
BX = 001 Event : 66
0x00 0011111|0101111 0x0FAF
BX = 010 Event : 67
0x00 0001100|0000111 0x0607
0x01 0010110|0101110 0x0B2E
0x02 0010110|0110111 0x0B37
0x03 0010110|0111000 0x0B38
0x04 0011110|1000011 0x0F43
0x05 0100001|0101110 0x10AE
0x06 0100001|0110111 0x10B7
0x07 0100001|0111000 0x10B8
BX = 011 Event : 68
BX = 100 Event : 69
0x00 0001110|0100000 0x0720
0x01 0001111|0111111 0x07BF
0x02 0001111|1000001 0x07C1
0x03 0011000|0111111 0x0C3F
0x04 0011000|1000001 0x0C41
BX = 101 Event : 70
0x00 0000110|0000000 0x0300
0x01 0001001|0101101 0x04AD
0x02 0001100|0110111 0x0637
0x03 0001100|0111000 0x0638
0x04 0001101|0110101 0x06B5
0x05 0001101|0111000 0x06B8
0x06 0001110|0110101 0x0735
0x07 0001110|0111000 0x0738
0x08 0010001|0110101 0x08B5
0x09 0010001|0110111 0x08B7
0x0a 0010001|0111000 0x08B8
BX = 110 Event : 71
0x00 0000010|0010111 0x0117
BX = 111 Event : 72
0x00 0001101|0011101 0x069D
BX = 000 Event : 73
0x00 0001000|0000010 0x0402
0x01 0001000|0000011 0x0403
0x02 0001001|0011010 0x049A
0x03 0001010|0011010 0x051A
0x04 0011001|0010100 0x0C94
0x05 0011100|0011010 0x0E1A
0x06 0100111|0101010 0x13AA
0x07 0101000|0010100 0x1414
BX = 001 Event : 74
BX = 010 Event : 75
0x00 0000011|0000000 0x0180
0x01 0000011|0000010 0x0182
0x02 0000011|0000110 0x0186
0x03 0000110|0000000 0x0300
0x04 0000110|0000010 0x0302
0x05 0000110|0000110 0x0306
0x06 0010001|0000000 0x0880
0x07 0010001|0000010 0x0882
0x08 0010001|0000110 0x0886
0x09 0010010|0000000 0x0900
0x0a 0010010|0000010 0x0902
0x0b 0010010|0000110 0x0906
BX = 011 Event : 76
0x00 0011010|0010101 0x0D15
0x01 0011100|0000101 0x0E05
0x02 0011100|0001111 0x0E0F
0x03 0101101|0000101 0x1685
0x04 0101101|0001111 0x168F
0x05 0101110|0000101 0x1705
0x06 0101110|0001111 0x170F
0x07 1011001|0000101 0x2C85
0x08 1011001|0001111 0x2C8F
BX = 100 Event : 77
0x00 0001101|0101100 0x06AC
0x01 0001110|0101100 0x072C
0x02 0011101|0101100 0x0EAC
0x03 0011110|0101100 0x0F2C
0x04 0011111|0101100 0x0FAC
0x05 0100000|0101100 0x102C
BX = 101 Event : 78
0x00 0000010|0011011 0x011B
0x01 0001110|0011011 0x071B
0x02 0001111|0011011 0x079B
BX = 110 Event : 79
0x00 0000000|0001000 0x0008
0x01 0000000|0001011 0x000B
BX = 111 Event : 80
0x00 0001000|0000011 0x0403
0x01 0001011|0100111 0x05A7
0x02 0010000|0100111 0x0827
BX = 000 Event : 81
0x00 0001100|0001010 0x060A
0x01 0001101|0001010 0x068A
0x02 0001110|0001010 0x070A
0x03 0001111|0001010 0x078A
0x04 0010000|0000001 0x0801
0x05 0010000|0000100 0x0804
0x06 0010000|0001000 0x0808
0x07 0010000|0000111 0x0807
0x08 0010001|0001010 0x088A
0x09 0010010|0001010 0x090A
0x0a 0010011|0101000 0x09A8
0x0b 0011001|0000001 0x0C81
0x0c 0011001|0000011 0x0C83
0x0d 0011001|0000100 0x0C84
0x0e 0011001|0001000 0x0C88
0x0f 0011010|0000001 0x0D01
0x10 0011010|0000011 0x0D03
0x11 0011010|0000100 0x0D04
0x12 0011010|0001000 0x0D08
0x13 0011011|0000001 0x0D81
0x14 0011011|0000011 0x0D83
0x15 0011011|0000100 0x0D84
0x16 0011011|0001000 0x0D88
0x17 0011100|0000001 0x0E01
0x18 0011100|0000011 0x0E03
0x19 0011100|0000100 0x0E04
0x1a 0011100|0001000 0x0E08
0x1b 0011101|0000001 0x0E81
0x1c 0011101|0000011 0x0E83
0x1d 0011101|0000100 0x0E84
0x1e 0011101|0001000 0x0E88
0x1f 0011110|0000001 0x0F01
0x20 0011110|0000011 0x0F03
0x21 0011110|0000100 0x0F04
0x22 0011110|0001000 0x0F08
0x23 0011111|0100010 0x0FA2
0x24 0100000|0000001 0x1001
0x25 0100000|0000011 0x1003
0x26 0100000|0000100 0x1004
0x27 0100000|0001000 0x1008
0x28 0100000|0000111 0x1007
0x29 0100001|0000111 0x1087
0x2a 0100001|0001010 0x108A
0x2b 0100100|0100100 0x1224
0x2c 0100101|0000001 0x1281
0x2d 0100101|0000011 0x1283
0x2e 0100101|0000100 0x1284
0x2f 0100101|0001000 0x1288
0x30 0100101|0000111 0x1287
0x31 0100110|0000111 0x1307
0x32 0100111|0000001 0x1381
0x33 0100111|0000011 0x1383
0x34 0100111|0000100 0x1384
0x35 0100111|0001000 0x1388
0x36 0101100|0101101 0x162D
0x37 0101101|0100101 0x16A5
0x38 0101101|0100111 0x16A7
0x39 0101101|0101001 0x16A9
0x3a 0101101|0101111 0x16AF
0x3b 0101101|0101101 0x16AD
0x3c 0110001|0001010 0x188A
0x3d 0110010|0001010 0x190A
0x3e 0110100|0101000 0x1A28
0x3f 0110101|0101000 0x1AA8
0x40 0110110|0000001 0x1B01
0x41 0110110|0000011 0x1B03
0x42 0110110|0000100 0x1B04
0x43 0110110|0001000 0x1B08
0x44 0110111|0000001 0x1B81
0x45 0110111|0000011 0x1B83
0x46 0110111|0000100 0x1B84
0x47 0110111|0001000 0x1B88
0x48 0111000|0000001 0x1C01
0x49 0111000|0000011 0x1C03
0x4a 0111000|0000100 0x1C04
0x4b 0111000|0001000 0x1C08
0x4c 0111010|0000001 0x1D01
0x4d 0111010|0000011 0x1D03
0x4e 0111010|0000100 0x1D04
0x4f 0111010|0001000 0x1D08
0x50 0111010|0000111 0x1D07
BX = 001 Event : 82
0x00 0001000|0010110 0x0416
0x01 0001001|0010110 0x0496
BX = 010 Event : 83
0x00 0000000|0000010 0x0002
0x01 0000000|0000101 0x0005
BX = 011 Event : 84
BX = 100 Event : 85
0x00 0001100|1000100 0x0644
0x01 0011011|1000100 0x0DC4
BX = 101 Event : 86
0x00 0001000|0101101 0x042D
0x01 0001111|0000010 0x0782
0x02 0001111|0000011 0x0783
0x03 0011001|0101101 0x0CAD
BX = 110 Event : 87
BX = 111 Event : 88
0x00 0010001|0000010 0x0882
0x01 0010010|0000010 0x0902
BX = 000 Event : 89
0x00 0001010|0000001 0x0501
0x01 0010111|0110100 0x0BB4
0x02 0100101|0011111 0x129F
BX = 001 Event : 90
0x00 0001101|0101100 0x06AC
0x01 0001101|0101101 0x06AD
0x02 0001101|0101011 0x06AB
0x03 0001110|0101100 0x072C
0x04 0001110|0101101 0x072D
0x05 0001110|0101011 0x072B
0x06 0001111|0101100 0x07AC
0x07 0001111|0101101 0x07AD
0x08 0001111|0101011 0x07AB
0x09 0010000|0101100 0x082C
0x0a 0010000|0101101 0x082D
0x0b 0010000|0101011 0x082B
BX = 010 Event : 91
0x00 0000100|0011110 0x021E
0x01 0010101|0100010 0x0AA2
0x02 0011000|0011100 0x0C1C
0x03 0011001|0011100 0x0C9C
0x04 0011010|0000001 0x0D01
0x05 0011011|0000001 0x0D81
0x06 0101000|0011100 0x141C
0x07 0101001|0011100 0x149C
0x08 0101010|0011100 0x151C
0x09 0110110|0000001 0x1B01
0x0a 0110111|0000001 0x1B81
0x0b 0111000|0000001 0x1C01
0x0c 0111001|0000001 0x1C81
BX = 011 Event : 92
BX = 100 Event : 93
0x00 0001011|0000100 0x0584
0x01 0001100|0101011 0x062B
0x02 0001101|0000100 0x0684
0x03 0001110|0000010 0x0702
0x04 0010011|0000010 0x0982
0x05 0010011|0101111 0x09AF
0x06 0011000|0101111 0x0C2F
0x07 0011001|0000010 0x0C82
0x08 0011001|0101111 0x0CAF
0x09 0011010|0000010 0x0D02
0x0a 0101110|0101011 0x172B
0x0b 0101111|0010011 0x1793
0x0c 0101111|0010110 0x1796
0x0d 0101111|0010111 0x1797
0x0e 0101111|0011001 0x1799
0x0f 0110000|0001111 0x180F
0x10 0110000|0011100 0x181C
0x11 0110010|0000010 0x1902
0x12 0110011|1000110 0x19C6
0x13 0110100|1000110 0x1A46
0x14 0110101|1000110 0x1AC6
0x15 0110110|1000110 0x1B46
0x16 0111110|0101011 0x1F2B
BX = 101 Event : 94
0x00 0000010|0010101 0x0115
0x01 0000110|0011101 0x031D
0x02 0000110|0011100 0x031C
0x03 0000111|0011101 0x039D
0x04 0000111|0011100 0x039C
0x05 0001000|0011101 0x041D
0x06 0001000|0011100 0x041C
0x07 0001001|0100100 0x04A4
0x08 0001100|0100100 0x0624
BX = 110 Event : 95
BX = 111 Event : 96
0x00 0001110|0011110 0x071E
0x01 0001111|0011110 0x079E
0x02 0010010|0110100 0x0934
BX = 000 Event : 97
0x00 0000110|0100000 0x0320
0x01 0011100|0100000 0x0E20
0x02 0011101|0100000 0x0EA0
BX = 001 Event : 98
0x00 0001010|0000111 0x0507
BX = 010 Event : 99
0x00 0100111|0000010 0x1382
BX = 011 Event : 100
0x00 0000011|0010111 0x0197
0x01 0001000|0100001 0x0421
0x02 0001001|0100001 0x04A1
