BX = 000 Event : 1
0x07 0111000|1001101 0x1C4D
0x08 0111001|1010110 0x1CD6
0x09 1000101|1010110 0x22D6
0x0a 1000110|1010110 0x2356
BX = 011 Event : 68
0x00 0000110|0001011 0x030B
0x01 0001001|0001001 0x0489
0x02 0001001|0001011 0x048B
0x03 0100010|0111001 0x1139
0x04 0100101|0111001 0x12B9
0x05 0101100|0111001 0x1639
0x06 0101100|0110111 0x1637
BX = 100 Event : 69
0x00 0010100|0010010 0x0A12
0x01 0010101|0010010 0x0A92
0x02 0010110|0010010 0x0B12
0x03 0011101|0010010 0x0E92
0x04 0011110|0011111 0x0F1F
0x05 0100010|0011111 0x111F
0x06 1000000|1001100 0x204C
0x07 1000001|1000101 0x20C5
0x08 1000011|1001100 0x21CC
0x09 1001000|1000101 0x2445
0x0a 1001100|1010111 0x2657
BX = 101 Event : 70
0x00 0000111|0001111 0x038F
0x01 0010110|0011111 0x0B1F
0x02 0100110|0110100 0x1334
0x03 0100111|0111100 0x13BC
0x04 0100111|0111101 0x13BD
0x05 0101000|0111101 0x143D
0x06 0101101|0111100 0x16BC
0x07 0101101|0111101 0x16BD
BX = 110 Event : 71
0x00 0001001|0001101 0x048D
0x01 0011111|0100000 0x0FA0
BX = 111 Event : 72
0x00 0011110|0101001 0x0F29
0x01 0110111|1000111 0x1BC7
0x02 0110111|1001000 0x1BC8
0x03 0111000|1001000 0x1C48
0x04 0111001|1000111 0x1CC7
0x05 0111001|1001000 0x1CC8
0x06 0111010|1000010 0x1D42
0x07 0111011|1000111 0x1DC7
0x08 0111011|1001000 0x1DC8
0x09 1000101|1000111 0x22C7
0x0a 1000101|1001000 0x22C8
BX = 000 Event : 73
0x00 0001101|0010011 0x0693
0x01 0010111|0100101 0x0BA5
0x02 0100101|0101110 0x12AE
BX = 001 Event : 74
0x00 0000101|0010101 0x0295
BX = 010 Event : 75
0x00 0000100|0010001 0x0211
0x01 0000111|0010001 0x0391
0x02 0001001|0011000 0x0498
0x03 0001001|0100100 0x04A4
0x04 0001100|0011000 0x0618
0x05 0001100|0100100 0x0624
0x06 0110111|1000111 0x1BC7
BX = 011 Event : 76
0x00 0010010|0010110 0x0916
0x01 0011000|0011100 0x0C1C
0x02 0011000|0011101 0x0C1D
0x03 0101000|0101101 0x142D
0x04 0111001|1000101 0x1CC5
0x05 0111010|1000101 0x1D45
0x06 1010001|1011010 0x28DA
0x07 1011011|1100010 0x2DE2
BX = 100 Event : 77
0x00 0011100|0011111 0x0E1F
0x01 0011101|0011111 0x0E9F
BX = 101 Event : 78
0x00 0000111|0001010 0x038A
0x01 0001010|0010001 0x0511
0x02 0010101|0010001 0x0A91
0x03 0010110|0011100 0x0B1C
0x04 0010110|0100100 0x0B24
0x05 0010111|0100101 0x0BA5
0x06 0100100|0110100 0x1234
