BX = 000 Event : 1
0x05 0011110|0011000 0x0F18
0x06 0100110|1010001 0x1351
BX = 010 Event : 99
0x00 0000100|0011000 0x0218
0x01 0000101|0011000 0x0298
0x02 0000110|0011000 0x0318
0x03 0100011|0010010 0x1192
0x04 0100100|0010010 0x1212
0x05 0100101|0010010 0x1292
BX = 011 Event : 100
0x00 0000110|0011011 0x031B
0x01 0010111|0001000 0x0B88
