BX = 000 Event : 1
BX = 010 Event : 91
0x00 0011011|0100100 0x0DA4
0x01 0111100|0000110 0x1E06
BX = 011 Event : 92
BX = 100 Event : 93
0x00 0010110|0101111 0x0B2F
0x01 0010110|0110001 0x0B31
0x02 0011000|0101111 0x0C2F
0x03 0011000|0110001 0x0C31
0x04 1011000|1001000 0x2C48
0x05 1011001|1000110 0x2CC6
BX = 101 Event : 94
0x00 0001000|0010101 0x0415
0x01 0011110|0000000 0x0F00
0x02 0011110|0000010 0x0F02
0x03 0011110|0000101 0x0F05
0x04 0011110|0001101 0x0F0D
BX = 110 Event : 95
BX = 111 Event : 96
0x00 0000011|0001100 0x018C
0x01 0000011|0001111 0x018F
BX = 000 Event : 97
0x00 0101000|0000100 0x1404
0x01 0101000|0000101 0x1405
0x02 0101000|0000110 0x1406
0x03 0101001|0000100 0x1484
0x04 0101001|0000101 0x1485
0x05 0101001|0000110 0x1486
0x06 0101010|0000100 0x1504
0x07 0101010|0000101 0x1505
0x08 0101010|0000110 0x1506
BX = 001 Event : 98
0x00 0001100|0011110 0x061E
0x01 0110000|1001001 0x1849
BX = 010 Event : 99
0x00 0001001|0001011 0x048B
0x01 0001001|0001100 0x048C
0x02 0001001|0010000 0x0490
BX = 011 Event : 100
